,Major,Minor,Angle
209,49,16.5,139.4
210,39.1,12.2,174.3
211,61.4,17,163.8
212,46.3,22.2,149.2
213,38.3,10.6,2.5
214,42.3,11.1,76
215,53.1,21.6,158.6
216,41.9,14.6,83.6
217,48.8,18.2,47
218,48.5,19.8,154.6
219,60.2,19.8,35.7
220,44.2,14.4,159.4
