Au seeds-chemos,,exp8,,exp9,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
998,0.0186250047633975,998,0.526833808956917,998,0.343671191130925
997,0.0197478225134644,997,0.528297537900193,997,0.345967744187212
996,0.0199467914353619,996,0.529226749319174,996,0.347370063727141
995,0.020476211258062,995,0.528996622792613,995,0.348695914067365
994,0.0207157496360073,994,0.530629707007991,994,0.350208971624034
993,0.0207969648111076,993,0.53048088701374,993,0.351388596770683
992,0.020772036572258,992,0.531061305419737,992,0.352824657222987
991,0.0209351279519888,991,0.530943102712175,991,0.354718514100644
990,0.0211097755963635,990,0.530804544518746,990,0.356142105407135
989,0.0218969414401931,989,0.530652414335477,989,0.357349766951062
988,0.0221121779307248,988,0.532585521929221,988,0.358931070212691
987,0.0226056854902199,987,0.531097796948938,987,0.359852774122676
986,0.0227677211748932,986,0.53316540432923,986,0.362715811000953
985,0.0226043220395694,985,0.531362914214761,985,0.363874390921813
984,0.0235192045430528,984,0.532193882889115,984,0.364739895536451
983,0.0238880499349666,983,0.531776394315499,983,0.367163252830881
982,0.0237419451010165,982,0.530357575000449,982,0.369752772154355
981,0.0240155182117076,981,0.531788460429102,981,0.371010644460969
980,0.0243952452075245,980,0.530837015815909,980,0.37243791129933
979,0.0245791519397777,979,0.531041873832412,979,0.373968254531753
978,0.0249444027297957,978,0.530287089093502,978,0.375121426330825
977,0.0250655996780777,977,0.529488711472826,977,0.377473573748447
976,0.0254708404322968,976,0.528783411620635,976,0.378966658795987
975,0.0258436280464668,975,0.526460500693809,975,0.380200535407076
974,0.0262965662897718,974,0.528100388738816,974,0.381948138299292
973,0.026394538720253,973,0.525915910678781,973,0.383768722746926
972,0.0266951400777917,972,0.52494437138687,972,0.384410979350611
971,0.0268590394858699,971,0.524187118552646,971,0.387706520960052
970,0.0276281797696051,970,0.521846587668616,970,0.389384545039908
969,0.0268762782611128,969,0.521962727454574,969,0.390842750094505
968,0.0267468389408723,968,0.519791778745154,968,0.392685869158906
967,0.0273951936747709,967,0.518440169839582,967,0.394131355550123
966,0.0285938884908458,966,0.517076108903852,966,0.395734336235998
965,0.0284299411973133,965,0.515902574980555,965,0.397048822015283
964,0.0282741228693877,964,0.513476772630888,964,0.398893684524063
963,0.0279100095188902,963,0.511305928145373,963,0.400712125426049
962,0.0278020630932233,962,0.510511973719526,962,0.402742287302788
961,0.0287392841971281,961,0.508180696371901,961,0.404307680660565
960,0.0281833214074684,960,0.505440495323278,960,0.405883778869625
959,0.0275693974589843,959,0.50426996066278,959,0.408071610758951
958,0.0283788706175704,958,0.5017782926539,958,0.410112025226268
957,0.0282819967229796,957,0.500630977079258,957,0.411162123729782
956,0.0276975923097596,956,0.498127844410554,956,0.413609592416868
955,0.0277381248730571,955,0.494657668442262,955,0.415976512675128
954,0.0276376419548525,954,0.491186283229829,954,0.416099845529963
953,0.0275707214215693,953,0.49110836222534,953,0.418868209766416
952,0.0277919626015814,952,0.487451655982002,952,0.420839276583752
951,0.0278892240891345,951,0.484781719558566,951,0.422105760438719
950,0.027655408247346,950,0.48237370065677,950,0.424897478097157
949,0.0277595929365575,949,0.479772833832246,949,0.426852445827908
948,0.0275876298820004,948,0.476243585340242,948,0.427720911074045
947,0.027867694413973,947,0.474118558126022,947,0.429703906481211
946,0.027740525490698,946,0.47039851331527,946,0.431728208968815
945,0.027669147276208,945,0.467211777447442,945,0.433561882327329
944,0.0277837664736381,944,0.464988082491819,944,0.43522055110595
943,0.0277853394558956,943,0.460715497051907,943,0.437792840029544
942,0.0280682653540386,942,0.457622051017451,942,0.439906074256099
941,0.0275615916782906,941,0.453773601099317,941,0.441027372197981
940,0.0275513037081558,940,0.45189119702379,940,0.444414359601445
939,0.027909347019725,939,0.448665296854035,939,0.4464816506044
938,0.0278302960412442,938,0.445147392535407,938,0.448201473627203
937,0.02829735805529,937,0.442395107550323,937,0.449478664130332
936,0.029156412412901,936,0.43892956142614,936,0.45252677261741
935,0.0284107613901197,935,0.434446310896578,935,0.454051651816264
934,0.0286320439309979,934,0.431120237721602,934,0.456409525804428
933,0.028083122055097,933,0.427544176188139,933,0.45841563601759
932,0.0286842227744404,932,0.42462987047148,932,0.462095866217071
931,0.0285139111890423,931,0.420484172712794,931,0.463956896306842
930,0.0283429203102521,930,0.416767685600013,930,0.465393692109531
929,0.0284000663899879,929,0.411591616713102,929,0.467354656068213
928,0.0280005053600689,928,0.407508848931816,928,0.468749772598901
927,0.0282415238717903,927,0.405134276704106,927,0.472604156901431
926,0.0280208819483684,926,0.40048927751425,926,0.473809020287948
925,0.0289340878599444,925,0.397199680081315,925,0.476476112199282
924,0.0285410570354304,924,0.391795026189258,924,0.478066901326318
923,0.0285094607590128,923,0.388589673315676,923,0.480396239402965
922,0.0281145768594907,922,0.384429391000425,922,0.482368394998967
921,0.0276070768045995,921,0.379589657281197,921,0.483765744960854
920,0.0278860221724459,920,0.376008522861203,920,0.487772229400418
919,0.0281376654177069,919,0.370885638697594,919,0.489227267686256
918,0.0282643152864937,918,0.367101733738806,918,0.491535234382222
917,0.0283962250976378,917,0.363448650475002,917,0.493922283002518
916,0.0279824488572191,916,0.360152306874061,916,0.496039379518836
915,0.0283018891995273,915,0.355654912731404,915,0.497577453878609
914,0.0280603677607422,914,0.351250572274047,914,0.500557408382148
913,0.0278046572464769,913,0.347018059092654,913,0.503717226186006
912,0.0280265422814577,912,0.34289682880225,912,0.505144676905951
