e1,,exp2,,exp3,,exp4,,exp5-dilfac-2,,exp6,,exp7,,exp8,,exp9,,exp10 dil,,exp11-dil,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
1030,0.338293953154584,1030,0.335444223859235,1030,0.245013492288103,1030,0.300062679654056,1030,0.126950448611555,1030,0.268196008337653,1030,0.109452762370108,1030,0.47979994700121,1030,0.305206497681339,1030,0.0812751383369311,1030,0.0523023674839493
1029,0.33898654661498,1029,0.336675739824298,1029,0.245365175976627,1029,0.300026521432977,1029,0.127685414595149,1029,0.26965243192982,1029,0.111171363095577,1029,0.480764659162408,1029,0.306782591006055,1029,0.0826051735443429,1029,0.0523362103503986
1028,0.341041089350081,1028,0.340297522882414,1028,0.247141643616112,1028,0.302073027967012,1028,0.130073896778628,1028,0.272385470727165,1028,0.11231107493864,1028,0.482871423688928,1028,0.308406181339462,1028,0.0838472551835716,1028,0.0540567904124856
1027,0.342791627118245,1027,0.341004191555193,1027,0.24820200996555,1027,0.301189974523925,1027,0.130961657916688,1027,0.273727423660757,1027,0.112333504089012,1027,0.485175635187822,1027,0.310926143377424,1027,0.0852646737233936,1027,0.0544766384483055
1026,0.344665210222176,1026,0.344744528963596,1026,0.250186788356738,1026,0.302384544163923,1026,0.132614996532123,1026,0.274857253550969,1026,0.114000051455662,1026,0.48560166214974,1026,0.310234307236799,1026,0.0850564052788969,1026,0.0535762264164621
1025,0.346822013726435,1025,0.346949372724366,1025,0.250675263256887,1025,0.303404055158277,1025,0.134601608825831,1025,0.276371443329146,1025,0.115143947381989,1025,0.488185596750122,1025,0.311163359802177,1025,0.0875268705817316,1025,0.0558873629884963
1024,0.348436136523577,1024,0.348770482604284,1024,0.252464463882834,1024,0.304653757256619,1024,0.1369623578827,1024,0.278729338712449,1024,0.116993626446308,1024,0.491703972581623,1024,0.312807351263084,1024,0.0878281807402424,1024,0.0553538087364049
1023,0.349286890847208,1023,0.350358816127309,1023,0.253392547379807,1023,0.305057782555371,1023,0.139156158529834,1023,0.280403126350231,1023,0.118615968302878,1023,0.492117805162313,1023,0.313570626795449,1023,0.0888732662183992,1023,0.0568107877731553
1022,0.351092431356809,1022,0.35287593197691,1022,0.254763269550938,1022,0.305731261738248,1022,0.141083353458021,1022,0.281922492167697,1022,0.119249259310793,1022,0.494076043421348,1022,0.314359455832408,1022,0.0903826837412989,1022,0.0577988066473455
1021,0.353871534559939,1021,0.355126395302766,1021,0.255297832673236,1021,0.306156223818388,1021,0.143374460715309,1021,0.285159861485597,1021,0.121207899971426,1021,0.497693184050207,1021,0.315746811389438,1021,0.0905729540598412,1021,0.0572071430990926
1020,0.355398890916362,1020,0.358484025274303,1020,0.257007779936571,1020,0.308414843791244,1020,0.144666991406933,1020,0.286497023407557,1020,0.122677540301175,1020,0.498010368676529,1020,0.315936710273341,1020,0.0919954462084954,1020,0.0585247554429638
1019,0.357351299408059,1019,0.359653042320511,1019,0.258078612876758,1019,0.30775120561694,1019,0.147132754540588,1019,0.288083321787611,1019,0.123895371299524,1019,0.499317592872363,1019,0.317810602006243,1019,0.093997270233474,1019,0.0596266046843944
1018,0.358853021480082,1018,0.361900186631534,1018,0.259662999559165,1018,0.308334702960404,1018,0.148784651825986,1018,0.289972705598717,1018,0.125672654096069,1018,0.501818282114595,1018,0.318827887975105,1018,0.0949265972580505,1018,0.0607157460470151
