Wavelength (nm),Abs
839,0.870164229307669
838,0.881541411134135
837,0.894984730264795
836,0.910891626781786
835,0.920653771952632
834,0.931020727724488
833,0.943139997056831
832,0.956677868871715
831,0.971814886170945
830,0.984138544743097
829,0.996670040316664
828,1.004065914623
827,1.01536049794885
826,1.02906398015851
825,1.04199978255012
824,1.05068383252141
823,1.05853841801237
822,1.06795297054822
821,1.07294861614636
820,1.08152048166043
819,1.08822739325431
818,1.10466561931975
817,1.11153785224716
816,1.11105520786648
815,1.11858418172343
814,1.12893977882057
813,1.13492487267945
812,1.13892675304493
811,1.13918828336493
810,1.14374591409667
809,1.1464740229394
808,1.15015092375479
807,1.14740001101192
806,1.14728816858934
805,1.14379452862699
804,1.14821994722867
803,1.14559407120945
802,1.14320314371123
801,1.13828673976002
800,1.13796132930078
799,1.13935099474485
798,1.12832004417253
797,1.12528793198182
796,1.11720869657098
795,1.11093275069477
794,1.10466528991499
793,1.09568330584054
792,1.0871259521615
791,1.08005039527001
790,1.06760889521067
789,1.05920874473589
788,1.04166223201166
787,1.0319573257016
786,1.02264192075973
785,1.01042730942411
784,0.99650739995498
783,0.983495021874997
782,0.968648722219296
781,0.956362812877084
780,0.939054533052348
779,0.928687855075358
778,0.911885536658814
777,0.897245914297952
776,0.879892219633234
775,0.865013772962644
774,0.848102887096196
773,0.832981205230289
772,0.813852439873257
771,0.798012026635359
770,0.782770854719937
769,0.765022679590634
768,0.748010366531542
767,0.729426078406956
766,0.713286697264285
765,0.696507310346219
764,0.68209143942974
763,0.665333060246047
762,0.647007787749528
761,0.631577823620439
760,0.614334793270375
759,0.597234573579154
758,0.582914588688378
757,0.56665853442498
756,0.551087212215553
755,0.535453224930281
754,0.520118882102916
753,0.505764801238043
752,0.490729904360079
751,0.475828223004848
750,0.462352500515709
749,0.448771026703088
748,0.434643694000672
747,0.421795595734005
746,0.409421607059502
745,0.396596691008225
744,0.383827042003397
743,0.37144143122167
742,0.359928986827684
741,0.349374638921477
740,0.337284424152695
739,0.326549616689073
738,0.316581646798611
737,0.3060264290935
736,0.296069635982329
735,0.286686472487802
734,0.277848179307663
733,0.269367398348585
732,0.260524778114248
731,0.251820661521078
730,0.244176107252241
729,0.236073509307753
728,0.22971646687943
727,0.221748435817983
726,0.214882344259587
725,0.20812403628381
724,0.201944186854128
723,0.195735081193352
722,0.190142531066095
721,0.183746981529177
720,0.178644283948059
719,0.172942901860523
718,0.168472698415619
717,0.163149622906408
716,0.159285953851477
715,0.154244370205349
714,0.150087484521829
713,0.145445793178786
712,0.141597378398835
711,0.13805463583937
710,0.134412383524688
709,0.130894469608226
708,0.127394166817807
707,0.123953771566756
706,0.12063448788467
705,0.117916419309355
704,0.114834987612281
703,0.112061984739277
702,0.109130317426969
701,0.106798043881531
700,0.104360697465888
699,0.101802633344027
698,0.0998787997019699
697,0.0980274841380575
696,0.0956170845293036
695,0.0932591009812995
694,0.0915434873016929
693,0.0896918696332813
692,0.0879592931113676
691,0.0862078393367163
690,0.0846261071400877
689,0.0828483248946073
688,0.0814602101507302
687,0.0800639428075825
686,0.0785965134374017
685,0.0772287040562513
684,0.0758183963792397
683,0.0750199682956948
682,0.0733908719012555
681,0.0722291930082096
680,0.0711717550523097
679,0.070110040742861
678,0.0690443607685954
677,0.0680131975775795
676,0.0670966046235585
675,0.0662499895592163
674,0.065578212904821
673,0.0644530419288317
672,0.0636687447143378
671,0.0630536507967485
670,0.0621417797824849
669,0.0614900712818801
668,0.0607573964013935
667,0.0601943085914064
666,0.059555875701599
665,0.0590470676091389
664,0.0583744289177826
663,0.0577155432283464
662,0.0572180990719097
661,0.0568559601538799
660,0.0561678196651723
659,0.0557139315613267
658,0.0553150843418223
657,0.0549475950345147
656,0.0544712976058001
655,0.0540396109238682
654,0.0535045141299047
653,0.0532798200946812
652,0.0529382011979931
651,0.0525700288481854
650,0.0522858996054965
649,0.0519018262732258
648,0.0516198245856613
647,0.0514767649014011
646,0.0511826321080136
645,0.0509871102570818
644,0.0506299533496007
643,0.0503536304171302
642,0.0502079941199747
641,0.0500287985893072
640,0.0501064467184349
639,0.0495797401849891
638,0.0496988690159742
637,0.049407213678652
636,0.0491989213165063
635,0.0493718291212828
634,0.0491981675509162
633,0.0491210874313573
632,0.0489615788063809
631,0.0488957811796607
630,0.0488772402758828
629,0.0489731690290759
628,0.048918842533262
627,0.0487761193719845
626,0.0489868458897074
625,0.0487029655024377
624,0.0488491407274938
623,0.0491050875566945
622,0.0488821940961196
621,0.0494335509419893
620,0.0491233483307434
619,0.049418496737984
618,0.0491768887082539
617,0.0495450669211655
616,0.0496171149702292
615,0.0494964999911185
614,0.0499900813837163
613,0.0500967435744189
612,0.0504100554464448
611,0.0505595401707805
610,0.0509572146744785
609,0.0511930294053105
608,0.0513092805657636
607,0.0517909868091237
606,0.0519784970630841
605,0.0522653740283722
604,0.0526708681481675
603,0.0530695162812774
602,0.0534467195408285
601,0.0539265246992864
600,0.0541167773690088
599,0.0547133154433992
598,0.0549965697698123
597,0.0553777154964784
596,0.0558117063444974
595,0.0562255650365478
594,0.0568251267657969
593,0.0574105676424388
592,0.0578948632605339
591,0.0584497633670902
590,0.0589313656012514
589,0.0594605493585844
588,0.0598843492299375
587,0.0606359100016461
586,0.0612567374796213
585,0.0619896289594808
584,0.0627554331031697
583,0.0633646232081491
582,0.0640339118631366
581,0.0648463684886369
580,0.0655550324601297
579,0.0664562472415666
578,0.0672759724696817
577,0.0680924030073325
576,0.0689900439095327
575,0.0699198898598315
574,0.0709272497507317
573,0.0716942136329394
572,0.0726739371496739
571,0.0736231210034501
570,0.074554682974652
569,0.0755980330102253
568,0.0770635404264969
567,0.0778505322288483
566,0.0788747090734502
565,0.08016639174632
564,0.0809233198149518
563,0.0823721403602932
562,0.0831219232739316
561,0.0843743823483117
560,0.085547269703001
559,0.0866748186877956
558,0.0879669956490799
557,0.0893095757725529
556,0.0904867354637933
555,0.0919918949599836
554,0.0932741498510544
553,0.0945676683019757
552,0.0958368071097242
551,0.0976089072979893
550,0.0986017418412738
549,0.100214269101824
548,0.101586871838736
547,0.1029717997994
546,0.104584823817586
545,0.106269683357938
544,0.108037219371866
543,0.109474611389069
542,0.110950764063457
541,0.112394595033173
540,0.114204628070249
539,0.116014662367619
538,0.118169332795183
537,0.119717161282369
536,0.121551769885434
535,0.123403516142129
534,0.125336527203604
533,0.126849001786093
532,0.128961524531877
