Sample 1,,nr-poly-1day,,exp1,,exp2,,exp3-22-02-2023,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
991,0.0376668291827206,991,0.0268508334083386,991,0.127108421380046,991,0.0458697178563726,991,0.0315087535416002
990,0.0382488124600037,990,0.0273853507786051,990,0.129004583730221,990,0.0465513732948935,990,0.0317676019015253
989,0.0381906383817358,989,0.0281924642302538,989,0.130624071796286,989,0.0472556305234413,989,0.0331666079410166
988,0.0380694532786912,988,0.027578361867841,988,0.132269839952017,988,0.048371784233897,988,0.0331924534850805
987,0.0384583941920248,987,0.0282323800161476,987,0.134279167283992,987,0.0495155025337962,987,0.0333926758346167
986,0.0388175648716935,986,0.0284377902387374,986,0.135827800562122,986,0.0495687721084781,986,0.0340753382651061
985,0.0388446547754997,985,0.0290540786107341,985,0.136882740148079,985,0.0514129162640393,985,0.0346284150265713
984,0.0388041762328517,984,0.0286402284330627,984,0.138408125096174,984,0.0510726748115371,984,0.0347442970781635
983,0.0394431015555901,983,0.029300002722992,983,0.139540064427603,983,0.0520368261087285,983,0.0353140911942054
982,0.039465836466286,982,0.0300161708060893,982,0.14142017341614,982,0.053109679133766,982,0.0366250733675281
981,0.0395689805964224,981,0.0300471833859702,981,0.143216471843382,981,0.0536068592832741,981,0.037173061813377
980,0.040079050597642,980,0.0300947606552139,980,0.144642828707971,980,0.0546708314806105,980,0.0371133681148386
979,0.0399974695198556,979,0.0305880403291603,979,0.145865000013266,979,0.0553236698626063,979,0.0376943555958306
978,0.0399177767097018,978,0.0304172582967364,978,0.147057678716493,978,0.055800285396954,978,0.0381052570179138
977,0.0402645243146506,977,0.0311738745542498,977,0.148923888810108,977,0.0571735091033063,977,0.0384150387831283
976,0.0402311263837105,976,0.030944232760733,976,0.15032058556245,976,0.0578096888417926,976,0.039270559134931
975,0.0403990508306626,975,0.0317156082477217,975,0.152312673215233,975,0.0589533353441076,975,0.0398663587693419
974,0.0405901751218663,974,0.0323938804244664,974,0.154234105453633,974,0.0603831033947643,974,0.0401871393206569
973,0.0407719149703627,973,0.0315902586807534,973,0.155764270939535,973,0.0603658800509628,973,0.0412262418061317
972,0.0414682502847603,972,0.0333014408038235,972,0.157938591618717,972,0.0621826710044337,972,0.0414928288060252
971,0.0411813284820137,971,0.032605900943829,971,0.15921771137246,971,0.0626454072810741,971,0.0422042717855592
970,0.0420082727949327,970,0.0336692932379874,970,0.161679343392646,970,0.0638347380597017,970,0.0427176766194065
969,0.0413530943743024,969,0.033061146124555,969,0.162648084246056,969,0.0649723756011956,969,0.0430717273234116
968,0.041050258228118,968,0.033522909028168,968,0.163305042253589,968,0.0654421583661623,968,0.043700305811757
967,0.0422053843722244,967,0.0342654358645445,967,0.165734015389485,967,0.0664092810016963,967,0.0438598979447293
966,0.0420715520895903,966,0.034818053754615,966,0.16830859203618,966,0.0680200094034394,966,0.0450856196310015
965,0.0425224164981254,965,0.0355439488911821,965,0.170155596926187,965,0.0688324117652932,965,0.0456610156444285
964,0.0422038153405723,964,0.0347280330329124,964,0.171113087714317,964,0.0692148809430525,964,0.0454845771545387
963,0.0429253974702871,963,0.0354564459475608,963,0.173678489881254,963,0.0710658265043385,963,0.0470846593422285
962,0.0428455370311022,962,0.0361589611164174,962,0.175245056272495,962,0.0719276953370165,962,0.0485276606760539
961,0.0425892827770055,961,0.0369458071698145,961,0.17701309119698,961,0.0730179389559248,961,0.0478834192719978
960,0.0422176230136628,960,0.0357618418031015,960,0.177715387970136,960,0.0734239157457686,960,0.0478971774735195
959,0.0435184812032976,959,0.0369407058065937,959,0.179556422500246,959,0.0750189837545516,959,0.0489656353491398
958,0.0425682681829452,958,0.0370819314161568,958,0.180895232442954,958,0.075012153561822,958,0.0502903535693587
957,0.0434643463504084,957,0.0373208792080656,957,0.182752979492831,957,0.0768640797981986,957,0.0487932656876388
956,0.0443925823934238,956,0.0380748222385143,956,0.184710230132391,956,0.0774533618489943,956,0.0506558121907944
955,0.0441219176752661,955,0.0382483601533419,955,0.186673755387631,955,0.0792027526426093,955,0.0507456174475562
954,0.0443777019142851,954,0.0396650020684685,954,0.187945209078064,954,0.0799696090515558,954,0.0515263407642388
953,0.0445442260555372,953,0.0397725055125682,953,0.189842683486688,953,0.0810304950579499,953,0.0529030540968988
952,0.0447143146268666,952,0.0395626007132782,952,0.191227543423191,952,0.0825155763482178,952,0.053213540582761
951,0.0452776113373784,951,0.0401384151477295,951,0.193088604889366,951,0.0829983110450602,951,0.0529113581470147
950,0.0452964589041178,950,0.0405969680322929,950,0.194892593254644,950,0.0842037767292023,950,0.0542658717511768
949,0.0456982272417788,949,0.0416311267187535,949,0.196234249983504,949,0.0857604727703909,949,0.0546837788133704
948,0.0454268340596355,948,0.041284453880463,948,0.197187963534151,948,0.0864037743290969,948,0.0556387170585892
947,0.045920297794492,947,0.0420678446211225,947,0.199508602444743,947,0.0872871628557902,947,0.0565277338599902
946,0.0457514332863296,946,0.0425087989662001,946,0.20106650621645,946,0.0894050699889973,946,0.0575481480979665
945,0.0463322919179926,945,0.0429371992027523,945,0.203763896335153,945,0.0903529137237783,945,0.0575321302620302
944,0.0464515702550237,944,0.0430352259850061,944,0.204896841932929,944,0.0914336863368945,944,0.0590652767291674
943,0.0471450181890713,943,0.0436368746360398,943,0.206205676331659,943,0.0928455414193602,943,0.0589107310654539
942,0.0473088256661598,942,0.0448824318288132,942,0.208645400704741,942,0.0944662380331865,942,0.0599653548439515
941,0.0472267987658328,941,0.0437421308021075,941,0.209948933038645,941,0.0958652768852183,941,0.0598189554999324
940,0.0477583147906667,940,0.0446789086821755,940,0.21174169598284,940,0.0971289275635189,940,0.0616606339245155
939,0.0477036199959778,939,0.0452622121034359,939,0.212997243363129,939,0.0982456710487488,939,0.0622520963295621
938,0.0485353604426854,938,0.0457130092402348,938,0.215157593670718,938,0.0999684349082531,938,0.0627674571847337
937,0.0488456935885099,937,0.0466798487275613,937,0.216701472147749,937,0.10112806035629,937,0.0638451428619524
936,0.0490520487098785,936,0.0472152839140445,936,0.219028829746744,936,0.102968059217257,936,0.0649541876796736
935,0.0500819278146623,935,0.0481084321459458,935,0.220056467239129,935,0.105261064312808,935,0.0658715373373228
934,0.049746790947955,934,0.0481435403883484,934,0.221604653144907,934,0.105234478666137,934,0.0666047808606933
933,0.050906044733557,933,0.0487009094949045,933,0.223641882898382,933,0.107746144174896,933,0.0671436754700597
932,0.0505221132766361,932,0.0495554250874214,932,0.225392965662729,932,0.109569680740107,932,0.0687587726284262
931,0.0508731280095163,931,0.0495463145303455,931,0.226402088666694,931,0.110263510693871,931,0.0693725305174032
930,0.0517028604560221,930,0.0502312124402668,930,0.227377336421927,930,0.111698626997528,930,0.0697829853362958
929,0.0516219527647138,929,0.0514787466615175,929,0.229852853191539,929,0.113715817311487,929,0.0715991466518428
928,0.0516931215791933,928,0.0518411527465156,928,0.231110202745433,928,0.115436749472677,928,0.0722756922714611
927,0.052632791329069,927,0.0521208173551166,927,0.233523734413608,927,0.116875641169816,927,0.0731713382538385
926,0.052099745057372,926,0.0525923219309647,926,0.233832169916104,926,0.118171677477516,926,0.0736225383090478
925,0.0527117832632055,925,0.052926650880106,925,0.235581493602506,925,0.119865530913274,925,0.0746888883560667
